	Joy	Anger	Sadness	Fear	Disgust
kolumna	     2.361	     1.330	     1.364	     1.515	     1.278
kołek	     1.707	     1.472	     1.552	     1.723	     1.568
kołnierz	     1.869	     1.337	     1.331	     1.501	     1.347
koło	     2.210	     1.327	     1.307	     1.400	     1.250
kołowanie	     1.736	     1.669	     1.570	     1.861	     1.582
kołysać	     2.943	     1.231	     1.336	     1.282	     1.261
kołyska	     3.020	     1.252	     1.339	     1.294	     1.302
komar	     1.222	     2.620	     2.368	     2.448	     2.729
komedia	     3.512	     1.463	     1.419	     1.733	     1.314
komenda	     1.620	     2.273	     1.967	     2.472	     1.904
komfort	     3.875	     1.230	     1.365	     1.425	     1.151
komik	     3.435	     1.511	     1.425	     1.734	     1.277
komin	     1.887	     1.367	     1.352	     1.497	     1.420
kominek	     3.400	     1.254	     1.450	     1.441	     1.228
komórka	     2.734	     1.390	     1.496	     1.423	     1.288
komórka jajowa	     1.841	     1.585	     1.510	     1.703	     1.554
kompas	     2.730	     1.294	     1.351	     1.583	     1.220
kompensować	     2.577	     1.505	     1.526	     1.869	     1.325
kompetentny	     3.286	     1.390	     1.437	     1.606	     1.234
