	Valence	Arousal	Dominance
tumor	     1.624	     6.739	     2.853
túnel	     3.731	     5.583	     3.883
turbio	     3.044	     5.274	     3.911
turno	     4.911	     4.561	     5.012
úlcera	     2.420	     5.602	     3.603
unidad	     5.217	     4.834	     5.059
uniforme	     3.778	     4.851	     4.681
urraca	     4.702	     4.571	     4.907
utensilio	     4.786	     4.442	     5.063
útero	     4.885	     4.927	     4.926
útil	     7.148	     5.874	     5.688
utopía	     6.438	     5.357	     5.164
vaca	     5.765	     5.191	     5.238
vacación	     7.698	     5.524	     5.874
vacilar	     3.675	     5.513	     4.589
vagina	     5.604	     5.015	     5.358
vagón	     4.712	     4.524	     4.981
vale	     5.366	     4.374	     5.174
valiente	     7.364	     6.258	     5.602
valle	     6.727	     4.886	     5.608
vampiro	     3.781	     5.331	     4.299
vándalo	     2.083	     6.598	     3.381
vanidad	     3.645	     4.978	     4.712
váter	     3.305	     4.797	     4.529
vehículo	     5.507	     5.195	     5.139
vela	     5.424	     5.068	     4.826
velero	     6.951	     5.557	     5.331
velo	     3.585	     5.927	     4.021
veloz	     5.907	     5.384	     5.311
vencedor	     6.939	     6.027	     5.650
vencedora	     7.223	     6.026	     5.467
vencido	     2.064	     5.742	     3.521
venda	     2.984	     5.890	     3.485
vendedor	     5.005	     4.599	     5.054
veneno	     2.053	     6.514	     3.301
veneración	     3.971	     4.783	     4.769
venganza	     2.396	     6.621	     3.775
ventaja	     7.099	     5.744	     5.641
ventana	     5.911	     4.912	     4.839
ventanilla	     5.775	     5.102	     4.971
verbena	     6.845	     5.311	     5.716
verdad	     7.317	     6.142	     5.310
verdadero	     6.938	     5.767	     5.364
verde	     6.916	     4.904	     5.785
verdugo	     2.292	     6.139	     3.611
vergonzoso	     2.717	     5.893	     3.402
verruga	     2.262	     5.453	     4.006
versión	     4.647	     4.378	     5.133
verso	     6.071	     4.942	     5.167
vertedero	     2.095	     5.219	     4.222
vértigo	     3.150	     6.584	     3.368
vestíbulo	     4.968	     4.422	     5.049
vestido	     6.712	     4.793	     5.561
veterano	     5.218	     5.149	     5.022
veterinaria	     6.188	     5.168	     4.960
veterinario	     6.414	     4.966	     5.404
viajes	     7.993	     6.520	     5.913
víbora	     2.365	     6.217	     3.417
vicio	     3.252	     6.384	     3.789
víctima	     1.960	     5.522	     3.458
victimismo	     2.307	     5.701	     4.044
victoria	     7.843	     6.378	     5.928
vida	     7.527	     6.068	     5.598
vídeo	     5.754	     4.813	     5.358
vidrio	     4.866	     4.428	     5.033
vigía	     4.246	     4.907	     4.692
vigilante	     4.441	     4.924	     4.853
vigoroso	     5.697	     5.401	     5.131
vino	     6.062	     5.244	     5.349
violación	     1.531	     7.074	     2.961
violencia	     1.856	     6.692	     3.417
violento	     1.616	     6.932	     3.104
violín	     7.124	     5.329	     5.199
virgen	     4.879	     4.367	     5.097
virtud	     7.238	     5.352	     5.652
viruela	     2.129	     6.290	     3.308
visión	     6.914	     5.539	     5.571
vistazo	     4.761	     4.671	     4.993
vitalidad	     7.835	     5.422	     6.054
viuda	     2.219	     4.717	     3.572
vívido	     6.028	     5.148	     5.217
vivir	     7.653	     6.380	     5.524
vivo	     7.852	     6.482	     5.702
volcán	     2.656	     6.739	     3.215
volumen	     5.022	     4.665	     5.161
voluntad	     6.999	     5.638	     5.811
voluptuosidad	     5.609	     5.587	     4.997
vómito	     2.023	     5.440	     4.157
yate	     6.919	     5.508	     5.562
zafiro	     6.322	     5.249	     5.484
zapato	     5.478	     4.558	     5.406
zorro	     5.092	     5.577	     4.494
zurra	     2.889	     6.201	     3.914
