	Valence	Arousal	Dominance
chiflado	     4.177	     5.232	     4.111
chillido	     2.938	     6.709	     3.597
chimpancé	     6.362	     5.671	     5.112
china	     5.374	     4.986	     5.163
chinche	     2.742	     5.368	     4.024
chincheta	     4.291	     4.879	     4.747
chiste	     7.563	     5.600	     5.837
chocolate	     7.588	     6.468	     5.597
chófer	     5.734	     4.803	     5.320
choque	     2.092	     6.135	     3.255
chorizo	     5.513	     4.887	     5.358
cicatriz	     2.616	     5.239	     3.978
ciclo	     5.471	     4.518	     5.304
ciclón	     2.309	     6.597	     3.069
ciego	     2.802	     4.691	     3.840
cielo	     7.537	     5.943	     5.459
ciempiés	     3.101	     5.119	     4.297
cieno	     2.517	     5.357	     4.107
científica	     5.811	     5.440	     4.996
científico	     6.801	     5.534	     5.596
ciervo	     5.927	     5.294	     5.064
cigarrillo	     2.294	     5.861	     3.828
cigüeña	     6.191	     5.089	     5.452
cinturón	     4.481	     5.266	     4.791
circo	     6.563	     5.213	     5.317
circulación	     4.789	     4.521	     4.983
círculo	     5.004	     4.401	     5.068
cirujano	     4.528	     5.767	     4.128
cisne	     6.653	     4.862	     5.658
ciudad	     5.804	     5.290	     5.019
civilización	     5.931	     5.537	     5.249
cliente	     6.949	     5.469	     5.971
clima	     5.561	     5.377	     4.925
cobarde	     2.637	     5.399	     4.013
cocaína	     1.978	     6.475	     3.446
coche	     6.137	     5.372	     5.152
cochinilla	     4.540	     4.442	     5.060
cocina	     5.638	     4.758	     5.319
cocinero	     6.318	     4.896	     5.421
coco	     6.209	     5.287	     5.507
cocodrilo	     3.376	     6.476	     3.501
codicia	     2.289	     5.704	     4.193
código	     4.715	     4.803	     4.943
codo	     4.727	     4.366	     5.068
coito	     7.256	     5.769	     5.641
cojo	     3.348	     4.296	     4.268
cola	     4.840	     4.516	     4.977
colaboración	     6.929	     5.236	     5.677
colapso	     2.489	     6.260	     3.573
cólera	     2.063	     6.599	     3.936
colibrí	     6.380	     5.082	     5.565
collar	     6.618	     4.686	     5.472
colonia	     6.371	     5.471	     5.309
color	     7.024	     5.448	     5.363
columna	     4.689	     4.365	     5.138
columpio	     7.244	     6.056	     5.619
coma	     3.839	     4.676	     4.401
comadreja	     4.887	     4.994	     4.881
comadrona	     5.895	     5.692	     5.070
combinación	     5.073	     4.992	     5.098
comedia	     8.001	     5.894	     6.039
comedor	     6.442	     5.185	     5.624
comer	     7.107	     5.644	     5.609
comercio	     5.486	     5.012	     5.215
cometa	     6.990	     5.356	     5.689
comida	     6.794	     5.279	     5.688
comodidad	     7.579	     5.560	     5.788
compañero	     7.377	     5.860	     5.491
compasión	     3.881	     4.290	     4.542
complejo	     2.685	     5.881	     3.715
complicación	     2.321	     6.299	     3.392
compositor	     6.745	     5.202	     5.594
compositora	     6.735	     5.397	     5.813
comprometido	     6.034	     5.287	     5.116
compromiso	     5.843	     5.591	     4.883
comunidad	     5.748	     5.263	     5.245
concentrado	     5.268	     4.680	     5.198
concesionario	     5.554	     5.013	     5.191
conciencia	     6.117	     5.535	     5.198
concurso	     6.715	     6.102	     5.060
conde	     3.836	     4.861	     4.718
condenado	     2.301	     6.157	     3.448
condesa	     4.220	     4.778	     4.806
condición	     3.509	     5.462	     3.969
condón	     5.687	     5.623	     4.994
conducto	     4.376	     5.113	     4.630
conductor	     5.900	     5.462	     5.084
conejito	     7.175	     5.195	     5.666
conejo	     6.914	     5.427	     5.622
conferencia	     5.248	     4.758	     5.172
confianza	     7.620	     6.419	     5.670
confort	     7.982	     6.019	     6.020
confuso	     2.586	     5.847	     3.717
conjunto	     5.962	     5.240	     5.308
conjuro	     4.641	     5.313	     4.783
conocimiento	     6.993	     5.431	     5.607
conquista	     5.759	     5.547	     4.978
consejo	     6.317	     5.882	     5.100
conserje	     4.841	     4.324	     5.044
considerado	     7.100	     5.680	     5.728
consigna	     5.218	     4.438	     5.160
consolado	     5.640	     4.834	     4.833
consolador	     6.375	     4.733	     5.565
conspiración	     2.332	     6.584	     3.479
contable	     4.821	     4.543	     4.986
contaminación	     2.189	     6.054	     3.854
contaminar	     1.658	     6.794	     3.262
contenedor	     2.559	     5.021	     4.356
contenido	     4.845	     4.348	     5.048
contexto	     4.819	     4.477	     5.049
contrariedad	     3.616	     5.681	     4.118
contrincante	     3.446	     5.991	     4.125
convencido	     6.345	     5.020	     5.451
convivir	     6.881	     6.146	     5.307
copa	     6.484	     5.071	     5.438
coqueto	     6.363	     5.411	     5.554
coral	     6.541	     4.886	     5.653
corazón	     6.628	     5.423	     5.095
corbata	     5.279	     4.342	     5.226
corcho	     5.057	     4.344	     5.220
cordero	     5.499	     4.467	     5.263
corona	     5.287	     5.246	     5.008
corrección	     4.754	     5.229	     4.897
corredor	     5.548	     4.782	     5.291
corredora	     5.970	     5.284	     5.378
correo	     5.768	     5.023	     5.187
corrupto	     1.909	     6.446	     3.869
corte	     2.973	     5.557	     3.787
cortesía	     6.814	     5.211	     5.842
corteza	     4.766	     4.413	     5.173
cortina	     4.925	     4.348	     5.108
costa	     7.733	     6.309	     5.792
costo	     4.409	     4.672	     4.861
costumbre	     5.859	     5.509	     5.064
cotilleo	     4.525	     5.046	     4.839
cotorra	     4.839	     4.631	     5.042
cráneo	     4.639	     4.504	     5.022
creación	     6.523	     5.313	     5.286
creatividad	     7.882	     6.417	     5.867
crecimiento	     6.992	     5.734	     5.401
