	Valence	Arousal	Dominance
erbe	     4.228	     5.860	     4.672
erbin	     6.489	     4.711	     5.367
erbse	     5.732	     3.965	     5.661
erdbeben	     2.424	     6.930	     4.132
erdbeere	     7.300	     4.350	     5.682
erde	     7.184	     4.889	     5.520
erfinder	     7.205	     4.734	     5.705
erfolg	     7.399	     4.438	     5.557
ergebnis	     6.049	     4.049	     5.508
erholung	     7.745	     4.425	     5.645
erlebnis	     7.277	     4.946	     5.623
ernte	     6.811	     4.431	     5.550
erotik	     6.919	     4.398	     5.783
erreger	     3.360	     5.900	     4.482
ertrag	     6.329	     4.179	     5.392
erwerb	     6.301	     4.044	     5.386
erzeuger	     5.353	     4.033	     5.682
erzfeind	     2.724	     6.310	     4.774
esel	     6.983	     4.000	     5.610
essig	     4.425	     4.890	     5.414
ethik	     5.629	     4.170	     5.274
eule	     6.821	     4.180	     5.275
euphorie	     7.432	     4.482	     5.642
euter	     5.519	     4.382	     5.683
ewigkeit	     6.121	     4.571	     5.136
existenz	     5.503	     3.933	     5.536
fabel	     7.056	     4.397	     5.576
fabrik	     5.115	     4.132	     5.576
fächer	     5.457	     3.798	     5.653
faden	     5.342	     3.876	     5.734
fahndung	     3.076	     6.005	     4.571
fahne	     5.313	     4.440	     5.298
fahrer	     5.361	     4.068	     5.570
fahrrad	     6.858	     4.434	     5.489
fahrt	     6.506	     4.441	     5.310
fall	     3.576	     6.238	     4.186
falle	     2.514	     6.650	     4.597
falte	     5.043	     4.170	     5.471
familie	     7.427	     4.362	     5.662
fantasie	     7.785	     4.500	     5.601
farbe	     7.227	     3.941	     5.369
fasan	     5.912	     4.003	     5.377
fasching	     6.783	     4.305	     5.520
fassade	     5.464	     4.100	     5.502
faust	     3.325	     6.232	     4.654
feder	     6.640	     4.358	     5.520
fehde	     4.532	     4.830	     5.180
fehler	     2.845	     6.095	     4.718
feier	     7.679	     4.706	     6.122
feiertag	     7.745	     4.425	     5.645
feigling	     3.319	     5.600	     4.950
feile	     5.599	     4.325	     5.486
feind	     2.534	     6.555	     4.649
fenster	     6.474	     4.057	     5.342
ferien	     7.929	     4.622	     5.772
fernrohr	     5.951	     3.987	     5.417
ferse	     5.056	     4.518	     5.386
