Word	Valence	Arousal	Dominance
descansillo	5.394700050354004	3.9883999824523926	4.074399948120117
descapotable	6.259399890899658	4.892000198364258	4.765600204467773
descarga	5.458799839019775	5.542600154876709	5.109799861907959
descargar	5.327600002288818	4.6168999671936035	4.485000133514404
descaro	3.52020001411438	5.853300094604492	5.234300136566162
descartar	4.594099998474121	4.063499927520752	3.977400064468384
descendencia	5.857900142669678	4.724699974060059	4.606500148773193
descendente	5.060699939727783	3.9158999919891357	3.9407999515533447
descender	3.654400110244751	4.980899810791016	4.659299850463867
descendiente	6.5731000900268555	3.916100025177002	4.0320000648498535
descentralización	4.521599769592285	4.302599906921387	4.134099960327148
descifrar	6.008600234985352	4.776800155639648	4.697800159454346
descolonización	4.725299835205078	4.330699920654297	4.162799835205078
descomponer	2.892400026321411	4.944900035858154	4.534999847412109
descomunal	4.973100185394287	5.0320000648498535	4.687300205230713
desconcertante	2.9170000553131104	5.224800109863281	4.750899791717529
desconcierto	2.919600009918213	5.781599998474121	5.212200164794922
desconexión	4.455900192260742	6.280399799346924	5.8394999504089355
desconfiar	2.3366000652313232	6.414000034332275	5.843299865722656
desconocer	3.377500057220459	4.926000118255615	4.562600135803223
desconocimiento	3.087599992752075	5.11870002746582	4.719699859619141
descontado	4.394800186157227	4.496099948883057	4.30649995803833
descrédito	2.6054999828338623	5.029600143432617	4.581099987030029
describir	5.3231000900268555	4.193699836730957	4.1894001960754395
descripción	5.120800018310547	4.126299858093262	4.095600128173828
descriptiva	4.765699863433838	4.391499996185303	4.1859002113342285
descubridor	5.969299793243408	4.95419979095459	4.7779998779296875
descubrimiento	7.018199920654297	5.912600040435791	5.5833001136779785
descubrir	7.285699844360352	5.871799945831299	5.630300045013428
descuento	6.939599990844727	5.356900215148926	5.221199989318848
descuidar	2.670300006866455	5.526899814605713	5.04640007019043
descuido	3.6396000385284424	4.981599807739258	4.687600135803223
desdicha	2.4544999599456787	5.335000038146973	4.850299835205078
desdichada	2.3450000286102295	5.275100231170654	4.771100044250488
desdichado	2.2704999446868896	5.271299839019775	4.694499969482422
desdoblamiento	4.095300197601318	4.489799976348877	4.341400146484375
deseable	7.1809000968933105	5.677599906921387	5.478700160980225
desechar	2.739799976348877	4.9604997634887695	4.5346999168396
desecho	2.555299997329712	5.177000045776367	4.6184000968933105
desembarcar	5.3968000411987305	3.7197999954223633	3.8210999965667725
desembarco	4.978600025177002	4.281499862670898	4.210299968719482
desembocadura	5.707300186157227	3.9588000774383545	4.063399791717529
desembocar	4.8744001388549805	3.634999990463257	3.670099973678589
desembolso	3.7118000984191895	5.198400020599365	4.847400188446045
desempate	4.874300003051758	4.481900215148926	4.285299777984619
desempeñar	4.816199779510498	3.8645999431610107	3.873199939727783
desempeño	5.200900077819824	4.283599853515625	4.1992998123168945
desempleo	2.2762999534606934	5.820799827575684	5.262400150299072
desencadenar	4.436200141906738	4.391900062561035	4.156400203704834
desencanto	2.259700059890747	4.572800159454346	4.139999866485596
desengaño	2.3422999382019043	5.908299922943115	5.289100170135498
desenlace	4.446300029754639	4.452400207519531	4.126100063323975
desentrañar	5.136199951171875	4.569200038909912	4.4004998207092285
desenvoltura	6.245800018310547	4.065999984741211	4.057400226593018
desenvolver	6.269700050354004	4.679699897766113	4.665500164031982
desenvolvimiento	5.650199890136719	4.081500053405762	4.180699825286865
deseoso	7.235099792480469	5.9832000732421875	5.5833001136779785
desequilibrio	3.02020001411438	5.009500026702881	4.573999881744385
deserción	2.8550000190734863	4.904200077056885	4.513500213623047
desértico	3.536400079727173	4.519499778747559	4.053599834442139
desertización	2.7304999828338623	5.755799770355225	5.257199764251709
desesperación	1.7057000398635864	5.979499816894531	5.145599842071533
desesperanza	2.0100998878479004	5.134699821472168	4.475299835205078
desestabilización	2.8255999088287354	5.330900192260742	4.89769983291626
