	Joy	Anger	Sadness	Fear	Disgust
libro	     3.791	     1.123	     1.231	     1.251	     1.165
liscio	     2.772	     1.330	     1.317	     1.384	     1.275
litigio	     1.153	     3.554	     2.591	     3.025	     2.531
lotta	     1.653	     2.426	     1.952	     2.543	     1.974
lotteria	     3.332	     1.457	     1.490	     1.544	     1.352
luce	     4.027	     1.234	     1.349	     1.309	     1.150
luminoso	     4.094	     1.340	     1.446	     1.447	     1.211
lunatico	     1.276	     2.782	     2.231	     2.844	     2.227
lusso	     4.413	     1.252	     1.304	     1.528	     1.148
lussuria	     3.700	     1.312	     1.350	     1.453	     1.164
lutto	     1.041	     3.131	     3.513	     3.713	     2.872
macchina	     2.892	     1.313	     1.428	     1.497	     1.198
macello	     1.255	     3.006	     2.337	     2.912	     2.301
madre	     4.241	     1.231	     1.293	     1.299	     1.150
magico	     3.771	     1.363	     1.429	     1.508	     1.284
magistrale	     3.450	     1.192	     1.251	     1.309	     1.190
maglia	     3.010	     1.345	     1.373	     1.425	     1.326
magnifico	     4.340	     1.214	     1.302	     1.338	     1.139
maiale	     1.669	     1.544	     1.604	     1.717	     1.704
mal di denti	     1.094	     2.899	     3.086	     3.946	     2.171
mal di mare	     1.184	     3.035	     2.857	     2.929	     2.397
malanno	     1.138	     2.827	     2.339	     2.101	     2.706
malaria	     1.050	     3.110	     3.390	     3.660	     2.842
malato	     1.080	     2.846	     3.100	     3.443	     2.770
malattia	     1.071	     2.792	     3.315	     3.724	     2.091
maleducato	     1.107	     2.697	     2.390	     2.040	     3.246
malessere	     1.135	     2.763	     2.329	     2.161	     2.399
malevolenza	     1.304	     2.404	     2.376	     2.747	     1.919
malvagio	     1.170	     3.321	     2.569	     2.810	     2.785
mangiare	     4.279	     1.213	     1.321	     1.345	     1.169
maniaco	     1.099	     3.523	     3.081	     3.578	     2.759
manichino	     1.578	     1.375	     1.313	     1.481	     1.263
mano	     2.905	     1.275	     1.324	     1.395	     1.289
manomettere	     1.290	     2.446	     1.987	     2.334	     2.089
mantenimento	     1.595	     2.357	     1.843	     2.382	     2.005
marcio	     1.107	     3.021	     2.452	     2.139	     2.817
margherita	     3.664	     1.192	     1.280	     1.356	     1.181
martello	     1.564	     2.469	     1.928	     2.479	     2.039
massacro	     1.046	     3.124	     3.492	     3.957	     2.736
masturbarsi	     2.390	     1.790	     1.506	     1.880	     1.593
materiale	     2.237	     1.490	     1.377	     1.623	     1.502
matita	     2.529	     1.214	     1.243	     1.291	     1.233
matrimonio	     3.653	     1.308	     1.262	     1.363	     1.230
matto	     1.466	     2.492	     1.928	     2.284	     2.058
medicina	     2.063	     1.630	     1.796	     2.138	     1.460
melma	     1.182	     2.670	     2.232	     2.290	     2.611
melodia	     3.113	     1.243	     1.349	     1.279	     1.261
memoria	     3.462	     1.267	     1.302	     1.354	     1.219
mendicante	     1.222	     2.418	     1.860	     2.020	     2.079
mensola	     1.724	     1.341	     1.326	     1.421	     1.330
mente	     3.960	     1.273	     1.346	     1.482	     1.211
mento	     1.728	     1.504	     1.441	     1.765	     1.376
meraviglia	     4.248	     1.238	     1.329	     1.381	     1.191
mercato	     2.993	     1.295	     1.345	     1.434	     1.203
mese	     1.952	     1.364	     1.357	     1.511	     1.420
mestolo	     2.578	     1.291	     1.336	     1.381	     1.330
metallo	     1.619	     1.430	     1.378	     1.603	     1.317
metodo	     3.293	     1.378	     1.331	     1.487	     1.272
miele	     3.247	     1.267	     1.263	     1.235	     1.257
migliorare	     4.333	     1.235	     1.333	     1.522	     1.146
milionario	     4.036	     1.355	     1.352	     1.486	     1.275
minaccia	     1.131	     3.524	     3.052	     3.543	     2.641
miracolo	     3.530	     1.237	     1.442	     1.519	     1.178
miseria	     1.075	     3.192	     3.200	     3.159	     2.689
mistico	     1.979	     1.388	     1.447	     1.511	     1.492
mite	     2.729	     1.288	     1.364	     1.313	     1.236
mobile	     2.066	     1.423	     1.451	     1.459	     1.360
mobilità	     3.038	     1.334	     1.357	     1.447	     1.174
modesto	     2.699	     1.317	     1.282	     1.370	     1.258
modo	     1.826	     1.299	     1.330	     1.418	     1.354
moglie	     3.309	     1.382	     1.463	     1.400	     1.233
momento	     3.291	     1.344	     1.460	     1.543	     1.316
mondo	     3.606	     1.332	     1.441	     1.417	     1.258
moneta	     2.793	     1.344	     1.290	     1.518	     1.285
montagna	     3.471	     1.199	     1.375	     1.338	     1.170
montagne russe	     2.879	     1.455	     1.304	     1.657	     1.291
morale	     3.296	     1.333	     1.424	     1.462	     1.252
morbido	     2.209	     1.279	     1.317	     1.392	     1.331
morbillo	     1.181	     2.780	     2.773	     2.757	     2.133
morboso	     1.294	     2.419	     2.114	     2.985	     2.091
morte	     1.140	     2.614	     2.763	     3.656	     1.913
morto	     1.037	     3.365	     3.742	     4.063	     2.844
motivo	     2.805	     1.297	     1.352	     1.405	     1.256
motocicletta	     3.374	     1.365	     1.440	     1.529	     1.251
motore	     2.632	     1.402	     1.399	     1.569	     1.369
mucca	     2.620	     1.234	     1.302	     1.371	     1.274
muco	     1.237	     2.402	     2.248	     2.269	     2.571
muffa	     1.177	     3.081	     2.284	     2.235	     2.570
muffin	     4.149	     1.265	     1.360	     1.541	     1.148
mulino	     2.554	     1.283	     1.298	     1.400	     1.301
muro	     1.654	     1.675	     1.749	     1.876	     1.651
muscoloso	     3.351	     1.369	     1.431	     1.491	     1.250
museo	     3.360	     1.224	     1.357	     1.286	     1.182
musica	     4.076	     1.237	     1.258	     1.265	     1.155
mutazione	     1.540	     2.202	     1.894	     2.369	     1.887
mutilare	     1.052	     3.341	     3.248	     3.693	     2.925
narcotico	     1.229	     2.644	     2.683	     2.668	     1.937
nascondere	     1.365	     2.537	     1.915	     2.163	     2.158
naso	     1.852	     1.538	     1.465	     1.827	     1.610
natale	     4.159	     1.269	     1.352	     1.406	     1.180
natura	     4.059	     1.223	     1.271	     1.319	     1.185
naturale	     4.005	     1.192	     1.274	     1.226	     1.109
nave	     3.674	     1.316	     1.355	     1.402	     1.293
negligenza	     1.180	     2.619	     2.238	     2.203	     2.471
neonato	     4.436	     1.139	     1.255	     1.329	     1.113
nero	     1.558	     1.753	     1.702	     1.945	     1.668
nervoso	     1.166	     2.963	     2.650	     2.854	     2.558
nettare	     3.553	     1.317	     1.471	     1.415	     1.240
neve	     4.070	     1.215	     1.295	     1.278	     1.127
nevrotico	     1.188	     3.153	     2.370	     2.808	     2.417
nodo	     1.540	     1.374	     1.343	     1.552	     1.256
noia	     1.173	     2.244	     2.752	     2.593	     2.413
nome	     2.896	     1.238	     1.313	     1.381	     1.275
notizie	     3.407	     1.338	     1.400	     1.512	     1.197
nudo	     2.495	     1.327	     1.371	     1.692	     1.349
nuotatore	     3.440	     1.403	     1.425	     1.498	     1.262
nutrire	     3.414	     1.341	     1.405	     1.502	     1.193
nuvole	     3.639	     1.220	     1.295	     1.323	     1.210
nuvoloso	     1.410	     1.876	     1.936	     2.029	     2.014
obbedire	     1.460	     2.226	     2.040	     2.643	     1.899
obesità	     1.193	     2.232	     2.501	     2.223	     2.962
obitorio	     1.128	     2.456	     3.338	     3.016	     2.369
occhio	     3.414	     1.276	     1.290	     1.335	     1.205
occhiolino	     2.662	     1.326	     1.315	     1.380	     1.337
oceano	     4.029	     1.242	     1.350	     1.341	     1.173
avversione	     1.175	     2.343	     1.942	     1.759	     3.116
odio	     1.100	     3.026	     2.486	     2.565	     2.907
odioso	     1.098	     3.075	     2.617	     2.547	     3.113
offendere	     1.144	     3.503	     2.581	     2.990	     2.695
offendersi	     1.173	     2.873	     2.411	     2.795	     2.485
ombra	     1.889	     1.364	     1.430	     1.507	     1.286
ombrello	     1.542	     1.867	     1.847	     1.952	     1.998
omicida	     1.063	     3.216	     3.139	     3.582	     2.760
onesto	     4.005	     1.316	     1.427	     1.420	     1.185
onore	     3.603	     1.442	     1.605	     1.588	     1.268
opinione	     3.177	     1.394	     1.327	     1.468	     1.304
oppresso	     1.236	     2.258	     2.350	     3.728	     1.883
opuscolo	     2.416	     1.225	     1.290	     1.242	     1.313
opzione	     2.627	     1.340	     1.364	     1.442	     1.371
orchestra	     3.007	     1.322	     1.378	     1.428	     1.242
orchidea	     3.866	     1.138	     1.271	     1.239	     1.140
ordinato	     3.551	     1.263	     1.318	     1.323	     1.225
orecchio	     1.944	     1.431	     1.481	     1.509	     1.345
orgasmo	     4.368	     1.253	     1.356	     1.487	     1.157
orgoglio	     2.493	     1.477	     1.298	     1.648	     1.379
orgoglioso	     2.922	     1.429	     1.326	     1.590	     1.317
oro	     3.802	     1.384	     1.542	     1.475	     1.232
orologio	     2.011	     1.588	     1.606	     2.052	     1.429
orribile	     1.193	     3.005	     2.581	     3.018	     2.137
orrore	     1.150	     3.143	     2.878	     3.288	     2.261
osceno	     1.241	     2.271	     1.864	     1.965	     2.081
ospedale	     1.228	     2.726	     2.271	     2.947	     2.034
ossessione	     1.192	     2.856	     2.398	     2.971	     2.206
ostacolare	     1.388	     2.968	     2.339	     3.020	     2.015
ostaggio	     1.076	     3.020	     3.198	     3.971	     2.274
ostile	     1.169	     3.214	     2.471	     2.951	     2.670
ottimismo	     4.000	     1.251	     1.306	     1.479	     1.201
pace	     4.042	     1.151	     1.255	     1.180	     1.095
padella	     2.640	     1.223	     1.285	     1.362	     1.280
padre	     4.094	     1.190	     1.266	     1.246	     1.149
palazzo	     2.773	     1.304	     1.373	     1.452	     1.356
paletta	     1.891	     1.256	     1.225	     1.269	     1.290
pallottola	     1.153	     2.526	     2.333	     2.394	     2.263
palude	     1.360	     2.291	     2.041	     2.366	     1.926
panca	     2.356	     1.320	     1.342	     1.360	     1.244
panico	     1.192	     2.918	     2.532	     3.236	     1.966
pantalone	     2.394	     1.227	     1.297	     1.297	     1.333
paradiso	     3.993	     1.165	     1.281	     1.290	     1.103
paralisi	     1.058	     3.172	     3.434	     3.934	     2.643
parte	     2.030	     1.426	     1.362	     1.575	     1.449
passaggio	     2.299	     1.298	     1.280	     1.465	     1.227
passione	     4.394	     1.260	     1.258	     1.553	     1.144
pasta	     3.723	     1.257	     1.284	     1.344	     1.166
pastello	     3.304	     1.215	     1.280	     1.332	     1.200
pasticcio	     1.876	     2.173	     1.744	     2.303	     1.829
patriota	     3.136	     1.325	     1.386	     1.496	     1.253
paura	     1.135	     2.914	     2.737	     3.392	     2.017
pavimento	     1.727	     1.382	     1.389	     1.478	     1.277
paziente	     2.088	     1.413	     1.371	     1.499	     1.432
pazzo	     1.411	     2.608	     2.037	     2.755	     2.129
peccaminoso	     2.572	     1.317	     1.346	     1.561	     1.285
peccato	     1.358	     2.554	     1.921	     2.245	     2.147
pelliccia	     1.720	     1.640	     1.550	     1.734	     1.569
pena	     1.225	     2.532	     2.426	     2.321	     2.071
penalità	     1.154	     2.836	     2.646	     2.868	     2.390
pene	     2.863	     1.470	     1.351	     1.561	     1.367
penna	     2.645	     1.289	     1.345	     1.512	     1.253
